importado,ncm,produto,preco,estoque,estoque_minimo
True,14669768,Apontador,15.54,125,30
True,44716505,Caderno 100 folhas,6.52,120,10
False,61556783,Caderno capa dura 200 folhas,24.46,92,20
False,80951350,Caneta esferográfica azul,11.42,138,20
True,19009230,Caneta esferográfica preta,3.71,148,40
False,62358012,Caneta esferográfica vermelha,13.74,186,50
False,52181421,Durex,7.43,11,20
True,54194976,Giz de cera 12 cores,23.66,46,10
False,14122061,Lapiseira 0.3 mm,10.76,141,40
True,44284736,Lapiseira 0.5 mm,0.71,199,40
False,40347035,Lapiseira 0.7 mm,11.28,192,50
True,67410825,Lápis,3.27,154,20
False,73784057,Lápis de cor 24 cores,13.80,103,10
False,31000281,Papel sulfite A4 pacote 100 folhas,18.26,197,20
True,85605700,Pasta elástica,7.10,48,40
False,13750972,Tesoura,9.68,77,10
